TFID	Tfname	TargetID	Targetname	ArrowDirect
PA5261	AlgR	PA2523	czcR	1
PA5261	AlgR	PA1727	mucR	1
PA5261	AlgR	PA4396	PA4396	1
PA5261	AlgR	PA2189	PA2189	1
PA5261	AlgR	PA1736	PA1736	-1
PA5261	AlgR	PA3763	purL	-1
PA5261	AlgR	PA2867	PA2867	1
PA5261	AlgR	PA4550	fimU	1
PA5261	AlgR	PA3479	rhlA	1
PA5261	AlgR	PA1156	nrdA	1
PA5261	AlgR	nrdJ	nrdJ	1
PA5261	AlgR	PA0905	RsmA	1
PA5261	AlgR	PA3621.1	rsmZ	1
PA5261	AlgR	PA3472	PA3472	-1
PA5261	AlgR	PA2193	hcnA	1
PA5261	AlgR	PA3540	algD	1
PA5261	AlgR	PA5078	opgG	1
PA5261	AlgR	PA2522	czcC	0
PA5261	AlgR	PA1048	PA1048	0
PA5261	AlgR	PA0499	PA0499	0
PA5261	AlgR	PA1106	PA1106	1
PA5261	AlgR	PA4552	pilW	1
PA5261	AlgR	PA4553	pilX	1
PA5261	AlgR	PA4554	pilY1	1
PA3385	AmrZ	PA4843	GcbA	1
PA3385	AmrZ	PA2867	PA2867	1
PA3385	AmrZ	PA1913	PA1913	1
PA3385	AmrZ	PA3691	PA3691	1
PA3385	AmrZ	PA5138	PA5138	1
PA3385	AmrZ	PA0171	PA0171	1
PA3385	AmrZ	PA4677	PA4677	1
PA3385	AmrZ	PA1097	fleQ	1
PA3385	AmrZ	PA0172	PA0172	1
PA3385	AmrZ	PA5167	PA5167	1
PA3385	AmrZ	PA0038	PA0038	1
PA3385	AmrZ	PA3722	PA3722	1
PA3385	AmrZ	PA1941	PA1941	1
PA3385	AmrZ	PA4324	PA4324	1
PA3385	AmrZ	PA0170	PA0170	1
PA3385	AmrZ	PA1680	PA1680	1
PA3385	AmrZ	PA5168	PA5168	1
PA3385	AmrZ	PA0938	PA0938	1
PA3385	AmrZ	PA1082	flgG	1
PA3385	AmrZ	PA1200	PA1200	1
PA3385	AmrZ	PA5169	PA5169	1
PA3385	AmrZ	PA1199	PA1199	1
PA3385	AmrZ	PA1132	PA1132	1
PA3385	AmrZ	PA4307	pctC	1
PA3385	AmrZ	PA4683	PA4683	1
PA3385	AmrZ	PA4306	flp	1
PA3385	AmrZ	PA4844	PA4844	1
PA3385	AmrZ	PA3367	PA3367	1
PA3385	AmrZ	PA1089	PA1089	1
PA3385	AmrZ	PA3951	PA3951	1
PA3385	AmrZ	PA3413	PA3413	1
PA3385	AmrZ	PA1331	PA1331	1
PA3385	AmrZ	PA4033	PA4033	1
PA3385	AmrZ	PA3353	PA3353	1
PA3385	AmrZ	PA4520	PA4520	1
PA3385	AmrZ	PA1088	PA1088	1
PA3385	AmrZ	PA1090	PA1090	1
PA3385	AmrZ	PA2567	PA2567	1
PA3385	AmrZ	PA1091	fgtA	1
PA3385	AmrZ	PA3627	ygbB	1
PA3385	AmrZ	PA1738	PA1738	1
PA3385	AmrZ	PA4639	PA4639	1
PA3385	AmrZ	PA3921	PA3921	1
PA3385	AmrZ	PA2282	PA2282	1
PA3385	AmrZ	PA2894	PA2894	1
PA3385	AmrZ	PA0248	PA0248	1
PA3385	AmrZ	PA3412	PA3412	1
PA3385	AmrZ	PA3435	PA3435	1
PA3385	AmrZ	PA1107	PA1107	1
PA3385	AmrZ	PA3436	PA3436	1
PA3385	AmrZ	PA0247	pobA	1
PA3385	AmrZ	PA3117	asd	1
PA3385	AmrZ	PA3280	oprO	1
PA3385	AmrZ	PA5242	ppk	1
PA3385	AmrZ	PA2076	PA2076	1
PA3385	AmrZ	PA4512	lpxO1	1
